Created as New Dataset,
cm-1,A
3207.00,1.7749
3206.00,1.7745
3205.00,1.7739
3204.00,1.7731
3203.00,1.7721
3202.00,1.7709
3201.00,1.7699
3200.00,1.7691
3199.00,1.7683
3198.00,1.7675
3197.00,1.7668
3196.00,1.7662
3195.00,1.7656
3194.00,1.7649
3193.00,1.7641
3192.00,1.7634
3191.00,1.7628
3190.00,1.7624
3189.00,1.7618
3188.00,1.7610
3187.00,1.7599
3186.00,1.7589
3185.00,1.7580
3184.00,1.7570
3183.00,1.7560
3182.00,1.7550
3181.00,1.7542
3180.00,1.7535
3179.00,1.7531
3178.00,1.7528
3177.00,1.7523
3176.00,1.7516
3175.00,1.7506
3174.00,1.7494
3173.00,1.7484
3172.00,1.7477
3171.00,1.7472
3170.00,1.7468
3169.00,1.7464
3168.00,1.7456
3167.00,1.7446
3166.00,1.7435
3165.00,1.7425
3164.00,1.7415
3163.00,1.7408
3162.00,1.7402
3161.00,1.7397
3160.00,1.7390
3159.00,1.7382
3158.00,1.7373
3157.00,1.7365
3156.00,1.7358
3155.00,1.7352
3154.00,1.7347
3153.00,1.7342
3152.00,1.7338
3151.00,1.7332
3150.00,1.7326
3149.00,1.7322
3148.00,1.7320
3147.00,1.7317
3146.00,1.7312
3145.00,1.7302
3144.00,1.7291
3143.00,1.7283
3142.00,1.7278
3141.00,1.7276
3140.00,1.7276
3139.00,1.7276
3138.00,1.7275
3137.00,1.7270
3136.00,1.7264
3135.00,1.7259
3134.00,1.7256
3133.00,1.7252
3132.00,1.7248
3131.00,1.7242
3130.00,1.7238
3129.00,1.7236
3128.00,1.7237
3127.00,1.7239
3126.00,1.7239
3125.00,1.7237
3124.00,1.7234
3123.00,1.7232
3122.00,1.7231
3121.00,1.7228
3120.00,1.7224
3119.00,1.7221
3118.00,1.7222
3117.00,1.7225
3116.00,1.7230
3115.00,1.7234
3114.00,1.7236
3113.00,1.7237
3112.00,1.7237
3111.00,1.7237
3110.00,1.7237
3109.00,1.7239
3108.00,1.7241
3107.00,1.7244
3106.00,1.7249
3105.00,1.7255
3104.00,1.7262
3103.00,1.7268
3102.00,1.7274
3101.00,1.7280
3100.00,1.7285
3099.00,1.7290
3098.00,1.7296
3097.00,1.7304
3096.00,1.7312
