Created as New Dataset,Sample 001 By Laboratory Date Friday, November 21 2025
cm-1,A
3575.00,1.2193
3574.00,1.2190
3573.00,1.2189
3572.00,1.2190
3571.00,1.2194
3570.00,1.2198
3569.00,1.2202
3568.00,1.2206
3567.00,1.2210
3566.00,1.2212
3565.00,1.2212
3564.00,1.2210
3563.00,1.2208
3562.00,1.2205
3561.00,1.2203
3560.00,1.2202
3559.00,1.2202
3558.00,1.2201
3557.00,1.2199
3556.00,1.2196
3555.00,1.2195
3554.00,1.2195
3553.00,1.2196
3552.00,1.2197
3551.00,1.2197
3550.00,1.2196
3549.00,1.2194
3548.00,1.2192
3547.00,1.2189
3546.00,1.2188
3545.00,1.2187
3544.00,1.2188
3543.00,1.2191
3542.00,1.2197
3541.00,1.2203
3540.00,1.2208
3539.00,1.2210
3538.00,1.2209
3537.00,1.2205
3536.00,1.2200
3535.00,1.2196
3534.00,1.2195
3533.00,1.2195
3532.00,1.2196
3531.00,1.2197
3530.00,1.2196
3529.00,1.2194
3528.00,1.2191
3527.00,1.2188
3526.00,1.2187
3525.00,1.2187
3524.00,1.2188
3523.00,1.2191
3522.00,1.2195
3521.00,1.2198
3520.00,1.2199
3519.00,1.2199
3518.00,1.2198
3517.00,1.2199
3516.00,1.2201
3515.00,1.2202
3514.00,1.2202
3513.00,1.2201
3512.00,1.2202
3511.00,1.2206
3510.00,1.2210
3509.00,1.2213
3508.00,1.2215
3507.00,1.2216
3506.00,1.2215
3505.00,1.2215
3504.00,1.2215
3503.00,1.2217
3502.00,1.2222
3501.00,1.2227
3500.00,1.2230
3499.00,1.2230
3498.00,1.2227
3497.00,1.2223
3496.00,1.2222
3495.00,1.2224
3494.00,1.2228
3493.00,1.2230
3492.00,1.2231
3491.00,1.2230
3490.00,1.2229
3489.00,1.2229
3488.00,1.2232
3487.00,1.2237
3486.00,1.2242
3485.00,1.2245
3484.00,1.2246
3483.00,1.2245
3482.00,1.2244
3481.00,1.2246
3480.00,1.2249
3479.00,1.2251
3478.00,1.2251
3477.00,1.2249
3476.00,1.2246
3475.00,1.2244
3474.00,1.2243
3473.00,1.2243
3472.00,1.2244
3471.00,1.2248
3470.00,1.2253
3469.00,1.2258
3468.00,1.2260
3467.00,1.2258
3466.00,1.2257
3465.00,1.2258
3464.00,1.2263
3463.00,1.2268
3462.00,1.2269
3461.00,1.2266
3460.00,1.2264
3459.00,1.2264
3458.00,1.2266
3457.00,1.2267
3456.00,1.2267
3455.00,1.2267
3454.00,1.2266
3453.00,1.2265
3452.00,1.2265
3451.00,1.2268
3450.00,1.2271
3449.00,1.2274
3448.00,1.2277
3447.00,1.2280
3446.00,1.2285
3445.00,1.2291
3444.00,1.2297
3443.00,1.2302
3442.00,1.2303
3441.00,1.2300
3440.00,1.2296
3439.00,1.2292
3438.00,1.2289
3437.00,1.2289
3436.00,1.2292
3435.00,1.2298
3434.00,1.2304
3433.00,1.2308
3432.00,1.2309
3431.00,1.2311
3430.00,1.2316
3429.00,1.2319
3428.00,1.2320
3427.00,1.2318
3426.00,1.2316
3425.00,1.2317
3424.00,1.2323
3423.00,1.2332
3422.00,1.2342
3421.00,1.2347
3420.00,1.2349
3419.00,1.2350
3418.00,1.2351
3417.00,1.2355
3416.00,1.2357
3415.00,1.2359
3414.00,1.2358
3413.00,1.2358
3412.00,1.2358
3411.00,1.2360
3410.00,1.2363
3409.00,1.2367
3408.00,1.2372
3407.00,1.2378
3406.00,1.2385
3405.00,1.2390
3404.00,1.2392
3403.00,1.2393
3402.00,1.2395
3401.00,1.2400
3400.00,1.2405
3399.00,1.2407
3398.00,1.2405
3397.00,1.2403
3396.00,1.2405
3395.00,1.2410
3394.00,1.2416
3393.00,1.2422
3392.00,1.2425
3391.00,1.2426
3390.00,1.2426
3389.00,1.2428
3388.00,1.2432
3387.00,1.2437
3386.00,1.2442
3385.00,1.2445
3384.00,1.2447
3383.00,1.2452
3382.00,1.2458
3381.00,1.2465
3380.00,1.2471
3379.00,1.2473
3378.00,1.2475
3377.00,1.2476
3376.00,1.2478
3375.00,1.2482
3374.00,1.2484
3373.00,1.2485
3372.00,1.2484
3371.00,1.2485
3370.00,1.2488
3369.00,1.2492
3368.00,1.2498
3367.00,1.2503
3366.00,1.2507
3365.00,1.2510
3364.00,1.2515
3363.00,1.2520
3362.00,1.2525
3361.00,1.2528
3360.00,1.2532
3359.00,1.2538
3358.00,1.2546
3357.00,1.2555
3356.00,1.2561
3355.00,1.2563
3354.00,1.2564
3353.00,1.2563
3352.00,1.2563
3351.00,1.2565
3350.00,1.2568
3349.00,1.2574
3348.00,1.2583
3347.00,1.2592
3346.00,1.2600
3345.00,1.2604
3344.00,1.2605
3343.00,1.2605
3342.00,1.2605
3341.00,1.2605
3340.00,1.2605
3339.00,1.2607
3338.00,1.2610
3337.00,1.2614
3336.00,1.2620
3335.00,1.2625
3334.00,1.2627
3333.00,1.2627
3332.00,1.2626
3331.00,1.2625
3330.00,1.2627
3329.00,1.2630
3328.00,1.2633
3327.00,1.2634
3326.00,1.2633
3325.00,1.2631
3324.00,1.2628
3323.00,1.2623
3322.00,1.2617
3321.00,1.2611
3320.00,1.2607
3319.00,1.2606
3318.00,1.2607
3317.00,1.2609
3316.00,1.2609
3315.00,1.2607
3314.00,1.2603
3313.00,1.2599
3312.00,1.2595
3311.00,1.2592
3310.00,1.2589
3309.00,1.2587
3308.00,1.2585
3307.00,1.2583
3306.00,1.2583
3305.00,1.2585
3304.00,1.2585
3303.00,1.2583
3302.00,1.2577
3301.00,1.2571
3300.00,1.2567
3299.00,1.2567
3298.00,1.2568
3297.00,1.2568
3296.00,1.2566
3295.00,1.2562
3294.00,1.2560
3293.00,1.2558
3292.00,1.2555
3291.00,1.2551
3290.00,1.2546
3289.00,1.2545
3288.00,1.2546
3287.00,1.2549
3286.00,1.2549
3285.00,1.2548
3284.00,1.2547
3283.00,1.2544
3282.00,1.2538
3281.00,1.2532
3280.00,1.2528
3279.00,1.2526
3278.00,1.2528
3277.00,1.2530
3276.00,1.2530
3275.00,1.2530
3274.00,1.2529
3273.00,1.2526
3272.00,1.2525
3271.00,1.2526
3270.00,1.2527
3269.00,1.2528
3268.00,1.2526
3267.00,1.2522
3266.00,1.2519
3265.00,1.2517
3264.00,1.2517
3263.00,1.2519
3262.00,1.2522
3261.00,1.2525
3260.00,1.2529
3259.00,1.2531
3258.00,1.2530
3257.00,1.2525
3256.00,1.2519
3255.00,1.2514
3254.00,1.2511
3253.00,1.2512
3252.00,1.2514
3251.00,1.2517
3250.00,1.2521
3249.00,1.2524
3248.00,1.2525
3247.00,1.2526
3246.00,1.2526
3245.00,1.2526
3244.00,1.2526
3243.00,1.2524
3242.00,1.2519
3241.00,1.2514
3240.00,1.2512
3239.00,1.2515
3238.00,1.2522
3237.00,1.2527
3236.00,1.2529
3235.00,1.2526
3234.00,1.2521
3233.00,1.2515
3232.00,1.2511
3231.00,1.2510
3230.00,1.2511
3229.00,1.2512
3228.00,1.2510
3227.00,1.2506
3226.00,1.2501
3225.00,1.2495
3224.00,1.2489
3223.00,1.2484
3222.00,1.2482
3221.00,1.2480
3220.00,1.2477
3219.00,1.2473
3218.00,1.2468
3217.00,1.2464
3216.00,1.2462
3215.00,1.2462
3214.00,1.2459
3213.00,1.2452
3212.00,1.2444
3211.00,1.2439
3210.00,1.2437
3209.00,1.2439
3208.00,1.2443
3207.00,1.2446
3206.00,1.2448
3205.00,1.2446
3204.00,1.2441
3203.00,1.2436
3202.00,1.2435
3201.00,1.2435
3200.00,1.2435
3199.00,1.2432
3198.00,1.2428
3197.00,1.2422
3196.00,1.2418
3195.00,1.2415
3194.00,1.2413
3193.00,1.2410
3192.00,1.2406
3191.00,1.2401
3190.00,1.2398
3189.00,1.2394
3188.00,1.2391
3187.00,1.2388
3186.00,1.2386
3185.00,1.2384
3184.00,1.2382
3183.00,1.2378
3182.00,1.2372
3181.00,1.2364
3180.00,1.2359
3179.00,1.2356
3178.00,1.2357
3177.00,1.2358
3176.00,1.2355
3175.00,1.2347
3174.00,1.2336
3173.00,1.2327
3172.00,1.2321
3171.00,1.2319
3170.00,1.2317
3169.00,1.2314
3168.00,1.2311
3167.00,1.2311
3166.00,1.2313
3165.00,1.2314
3164.00,1.2312
3163.00,1.2309
3162.00,1.2305
3161.00,1.2303
3160.00,1.2303
3159.00,1.2302
3158.00,1.2300
3157.00,1.2297
3156.00,1.2291
3155.00,1.2285
3154.00,1.2281
3153.00,1.2278
3152.00,1.2277
3151.00,1.2277
3150.00,1.2275
3149.00,1.2273
3148.00,1.2270
3147.00,1.2266
3146.00,1.2262
3145.00,1.2257
3144.00,1.2253
3143.00,1.2250
3142.00,1.2248
3141.00,1.2245
3140.00,1.2242
3139.00,1.2239
3138.00,1.2237
3137.00,1.2235
3136.00,1.2234
3135.00,1.2231
3134.00,1.2228
3133.00,1.2225
3132.00,1.2223
3131.00,1.2223
3130.00,1.2224
3129.00,1.2223
3128.00,1.2221
3127.00,1.2219
3126.00,1.2218
3125.00,1.2217
3124.00,1.2218
3123.00,1.2222
3122.00,1.2226
3121.00,1.2227
3120.00,1.2224
3119.00,1.2219
3118.00,1.2214
3117.00,1.2211
3116.00,1.2211
3115.00,1.2213
3114.00,1.2216
3113.00,1.2217
3112.00,1.2216
3111.00,1.2215
3110.00,1.2216
3109.00,1.2218
3108.00,1.2220
3107.00,1.2223
3106.00,1.2226
3105.00,1.2227
3104.00,1.2227
3103.00,1.2227
3102.00,1.2230
3101.00,1.2235
3100.00,1.2240
3099.00,1.2242
3098.00,1.2240
3097.00,1.2238
3096.00,1.2239
3095.00,1.2244
3094.00,1.2250
3093.00,1.2255
3092.00,1.2259
3091.00,1.2261
3090.00,1.2261
3089.00,1.2262
3088.00,1.2266
3087.00,1.2273
3086.00,1.2282
3085.00,1.2289
3084.00,1.2296
3083.00,1.2303
3082.00,1.2311
3081.00,1.2317
3080.00,1.2321
3079.00,1.2324
3078.00,1.2329
3077.00,1.2336
3076.00,1.2344
3075.00,1.2352
3074.00,1.2359
3073.00,1.2367
3072.00,1.2377
3071.00,1.2389
3070.00,1.2401
3069.00,1.2412
3068.00,1.2422
3067.00,1.2431
3066.00,1.2439
3065.00,1.2445
3064.00,1.2452
3063.00,1.2459
3062.00,1.2465
3061.00,1.2468
3060.00,1.2467
3059.00,1.2466
3058.00,1.2468
3057.00,1.2475
3056.00,1.2483
3055.00,1.2491
3054.00,1.2497
3053.00,1.2503
3052.00,1.2509
3051.00,1.2514
3050.00,1.2517
3049.00,1.2519
3048.00,1.2523
3047.00,1.2529
3046.00,1.2535
3045.00,1.2542
3044.00,1.2547
3043.00,1.2551
3042.00,1.2556
3041.00,1.2562
3040.00,1.2570
3039.00,1.2577
3038.00,1.2583
3037.00,1.2590
3036.00,1.2598
3035.00,1.2607
3034.00,1.2614
3033.00,1.2620
3032.00,1.2627
3031.00,1.2635
3030.00,1.2645
3029.00,1.2655
3028.00,1.2665
3027.00,1.2677
3026.00,1.2692
3025.00,1.2710
3024.00,1.2727
3023.00,1.2742
3022.00,1.2755
3021.00,1.2768
3020.00,1.2783
3019.00,1.2802
3018.00,1.2826
3017.00,1.2852
3016.00,1.2877
3015.00,1.2898
3014.00,1.2916
3013.00,1.2933
3012.00,1.2952
3011.00,1.2974
3010.00,1.2999
3009.00,1.3025
3008.00,1.3052
3007.00,1.3078
3006.00,1.3103
3005.00,1.3126
3004.00,1.3146
3003.00,1.3166
3002.00,1.3187
3001.00,1.3212
3000.00,1.3239
2999.00,1.3265
2998.00,1.3291
2997.00,1.3320
2996.00,1.3354
2995.00,1.3394
2994.00,1.3441
2993.00,1.3495
2992.00,1.3557
2991.00,1.3626
2990.00,1.3701
2989.00,1.3781
2988.00,1.3866
2987.00,1.3961
2986.00,1.4067
2985.00,1.4187
2984.00,1.4321
2983.00,1.4471
2982.00,1.4635
2981.00,1.4813
2980.00,1.5007
2979.00,1.5218
2978.00,1.5448
2977.00,1.5696
2976.00,1.5964
2975.00,1.6250
2974.00,1.6557
2973.00,1.6887
2972.00,1.7242
2971.00,1.7622
2970.00,1.8025
2969.00,1.8442
2968.00,1.8864
2967.00,1.9284
2966.00,1.9695
2965.00,2.0095
2964.00,2.0486
2963.00,2.0870
2962.00,2.1255
2961.00,2.1642
2960.00,2.2015
2959.00,2.2348
2958.00,2.2610
2957.00,2.2788
2956.00,2.2897
2955.00,2.2961
2954.00,2.3007
2953.00,2.3047
2952.00,2.3079
2951.00,2.3087
2950.00,2.3059
2949.00,2.3005
2948.00,2.2951
2947.00,2.2923
2946.00,2.2936
2945.00,2.3009
2944.00,2.3166
2943.00,2.3419
2942.00,2.3757
2941.00,2.4145
2940.00,2.4542
2939.00,2.4916
2938.00,2.5263
2937.00,2.5614
2936.00,2.6007
2935.00,2.6453
2934.00,2.6919
2933.00,2.7389
2932.00,2.7901
2931.00,2.8512
2930.00,2.9216
2929.00,2.9942
2928.00,3.0597
2927.00,3.1067
2926.00,3.1226
2925.00,3.1101
2924.00,3.0922
2923.00,3.0847
2922.00,3.0778
2921.00,3.0518
2920.00,3.0063
2919.00,2.9576
2918.00,2.9144
2917.00,2.8750
2916.00,2.8364
2915.00,2.7978
2914.00,2.7580
2913.00,2.7142
2912.00,2.6657
2911.00,2.6148
2910.00,2.5646
2909.00,2.5192
2908.00,2.4823
2907.00,2.4531
2906.00,2.4263
2905.00,2.3959
2904.00,2.3622
2903.00,2.3308
2902.00,2.3062
2901.00,2.2878
2900.00,2.2716
2899.00,2.2540
2898.00,2.2339
2897.00,2.2126
2896.00,2.1915
2895.00,2.1710
2894.00,2.1499
2893.00,2.1268
2892.00,2.1011
2891.00,2.0739
2890.00,2.0475
2889.00,2.0241
2888.00,2.0049
2887.00,1.9896
2886.00,1.9759
2885.00,1.9618
2884.00,1.9473
2883.00,1.9345
2882.00,1.9256
2881.00,1.9216
2880.00,1.9222
2879.00,1.9270
2878.00,1.9354
2877.00,1.9468
2876.00,1.9608
2875.00,1.9770
2874.00,1.9950
2873.00,2.0134
2872.00,2.0304
2871.00,2.0445
2870.00,2.0551
2869.00,2.0635
2868.00,2.0718
2867.00,2.0825
2866.00,2.0965
2865.00,2.1137
2864.00,2.1335
2863.00,2.1559
2862.00,2.1815
2861.00,2.2106
2860.00,2.2432
2859.00,2.2794
2858.00,2.3181
2857.00,2.3566
2856.00,2.3898
2855.00,2.4128
2854.00,2.4243
2853.00,2.4270
2852.00,2.4241
2851.00,2.4139
2850.00,2.3902
2849.00,2.3485
2848.00,2.2910
2847.00,2.2243
2846.00,2.1540
2845.00,2.0836
2844.00,2.0156
